Reported Date,Resolved,Deaths,Total Cases
3/2/2020,3,0,18
3/3/2020,3,0,20
3/4/2020,3,0,20
3/5/2020,4,0,22
3/6/2020,4,0,26
3/7/2020,4,0,28
3/8/2020,4,0,29
3/9/2020,4,0,35
3/10/2020,5,0,36
3/11/2020,5,0,42
3/12/2020,5,0,59
3/13/2020,5,0,79
3/14/2020,5,0,103
3/15/2020,5,0,145
3/16/2020,5,0,177
3/17/2020,5,1,189
3/18/2020,5,1,214
3/19/2020,5,2,258
3/20/2020,5,2,318
3/21/2020,6,2,377
3/22/2020,8,5,425
3/23/2020,8,6,503
3/24/2020,8,8,588
3/25/2020,8,13,688
3/26/2020,8,15,858
3/27/2020,8,18,993
3/28/2020,8,19,1144
3/29/2020,8,23,1355
3/30/2020,431,23,1706
3/31/2020,534,33,1966
4/1/2020,674,37,2392
4/2/2020,831,53,2793
4/3/2020,1023,67,3255
4/4/2020,1219,94,3630
4/5/2020,1449,119,4038
4/6/2020,1624,132,4347
4/7/2020,1802,153,4726
4/8/2020,2074,174,5276
4/9/2020,2305,200,5759
4/10/2020,2574,222,6237
4/11/2020,2858,253,6648
4/12/2020,3121,274,7049
4/13/2020,3357,291,7470
4/14/2020,3568,334,7953
4/15/2020,3902,385,8447
4/16/2020,4194,423,8961
4/17/2020,4556,478,9525
4/18/2020,4875,514,10010
4/19/2020,5209,553,10578
4/20/2020,5515,584,11184
4/21/2020,5806,622,11735
4/22/2020,6221,659,12245
4/23/2020,6680,713,12879
4/24/2020,7087,763,13519
4/25/2020,7509,811,13995
4/26/2020,8000,835,14432
4/27/2020,8525,892,14856
4/28/2020,8964,951,15381
4/29/2020,9612,996,15728
4/30/2020,10205,1082,16187
5/1/2020,10825,1121,16608
5/2/2020,11390,1176,17119
5/3/2020,12005,1216,17553
5/4/2020,12505,1300,17923
5/5/2020,12779,1361,18310
5/6/2020,13222,1429,18722
5/7/2020,13569,1477,19121
5/8/2020,13990,1540,19598
5/9/2020,14383,1599,19944
5/10/2020,14772,1634,20238
5/11/2020,15131,1669,20546
5/12/2020,15391,1725,20907
5/13/2020,15845,1765,21236
5/14/2020,16204,1798,21581
5/15/2020,16641,1825,21922
5/16/2020,17020,1858,22313
5/17/2020,17360,1881,22653
5/18/2020,17638,1904,22957
5/19/2020,17898,1919,23384
5/20/2020,18190,1962,23774
5/21/2020,18509,1993,24187
5/22/2020,18767,2021,24628
5/23/2020,19146,2048,25040
5/24/2020,19477,2073,25500
5/25/2020,19698,2102,25904
5/26/2020,19958,2123,26191
5/27/2020,20372,2155,26483
5/28/2020,20673,2189,26866
5/29/2020,20983,2230,27210
5/30/2020,21353,2247,27533
5/31/2020,21810,2266,27859
6/1/2020,22153,2276,28263
6/2/2020,22484,2293,28709
6/3/2020,22811,2312,29047
6/4/2020,23208,2357,29403
6/5/2020,23583,2372,29747
6/6/2020,23947,2407,30202
6/7/2020,24252,2426,30617
6/8/2020,24492,2450,30860
6/9/2020,24829,2464,31090
6/10/2020,25380,2475,31341
6/11/2020,25885,2487,31544
6/12/2020,26187,2498,31726
6/13/2020,26538,2507,31992
6/14/2020,26961,2519,32189
6/15/2020,27213,2527,32370
6/16/2020,27431,2538,32554
6/17/2020,27784,2550,32744
6/18/2020,28004,2553,32917
6/19/2020,28250,2564,33095
6/20/2020,28468,2595,33301
6/21/2020,28719,2606,33476
6/22/2020,28933,2609,33637
6/23/2020,29107,2619,33853
6/24/2020,29336,2631,34016
6/25/2020,29528,2641,34205
6/26/2020,29754,2644,34316
6/27/2020,29932,2652,34476
6/28/2020,30107,2658,34654
6/29/2020,30196,2665,34911
6/30/2020,30344,2672,35068
7/1/2020,30526,2676,35217
7/2/2020,30730,2680,35370
7/3/2020,30909,2682,35535
7/4/2020,31083,2687,35656
7/5/2020,31266,2689,35794
7/6/2020,31426,2689,35948
7/7/2020,31603,2691,36060
7/8/2020,31805,2700,36178
7/9/2020,31977,2703,36348
7/10/2020,32155,2710,36464
7/11/2020,32422,2716,36594
7/12/2020,32534,2719,36723
7/13/2020,32663,2722,36839
7/14/2020,32785,2723,36950
7/15/2020,32920,2732,37052
7/16/2020,33061,2737,37163
7/17/2020,33162,2746,37274
7/18/2020,33294,2748,37440
7/19/2020,33407,2751,37604
7/20/2020,33513,2752,37739
7/21/2020,33605,2753,37942
7/22/2020,33812,2755,38107
7/23/2020,33963,2755,38210
7/24/2020,34100,2758,38405
7/25/2020,34240,2759,38543
7/26/2020,34359,2763,38680
7/27/2020,34461,2764,38799
7/28/2020,34567,2768,38910
7/29/2020,34741,2769,38986
7/30/2020,34906,2772,39075
7/31/2020,35074,2775,39209
8/1/2020,35237,2777,39333
8/2/2020,35359,2778,39449
8/3/2020,35485,2778,39537
8/4/2020,35601,2782,39628
8/5/2020,35747,2782,39714
8/6/2020,35906,2783,39809
8/7/2020,36024,2783,39897
8/8/2020,36131,2784,39967
8/9/2020,36279,2786,40046
8/10/2020,36381,2786,40161
8/11/2020,36456,2786,40194
8/12/2020,36590,2787,40289
8/13/2020,36689,2787,40367
8/14/2020,36772,2788,40459
8/15/2020,36873,2789,40565
8/16/2020,36953,2789,40646
8/17/2020,37036,2789,40745
8/18/2020,37126,2793,40870
8/19/2020,37215,2792,40972
8/20/2020,37291,2793,41048
8/21/2020,37397,2796,41179
8/22/2020,37487,2797,41287
8/23/2020,37595,2797,41402
8/24/2020,37673,2798,41507
8/25/2020,37748,2800,41607
8/26/2020,37863,2802,41695
8/27/2020,37940,2803,41813
8/28/2020,38023,2809,41935
8/29/2020,38126,2809,42083
8/30/2020,38204,2810,42195
8/31/2020,38277,2811,42309
9/1/2020,38369,2812,42421
9/2/2020,38506,2812,42554
9/3/2020,38625,2812,42686
9/4/2020,38741,2811,42834
9/5/2020,38847,2811,43003
9/6/2020,38958,2813,43161
9/7/2020,39077,2813,43351
9/8/2020,39196,2813,43536
9/9/2020,39332,2813,43685
9/10/2020,39474,2814,43855
9/11/2020,39598,2813,44068
9/12/2020,39717,2814,44300
9/13/2020,39841,2815,44504
9/14/2020,39974,2816,44817
9/15/2020,40091,2820,45068
9/16/2020,40245,2822,45383
9/17/2020,40424,2825,45676
9/18/2020,40600,2825,46077
9/19/2020,40777,2826,46484
9/20/2020,40968,2827,46849
9/21/2020,41146,2829,47274
9/22/2020,41342,2832,47752
9/23/2020,41600,2835,48087
9/24/2020,41886,2836,48496
9/25/2020,42169,2837,48905
9/26/2020,42507,2837,49340
9/27/2020,42796,2839,49831
9/28/2020,43127,2840,50531
9/29/2020,43450,2844,51085
9/30/2020,43907,2848,51710
10/1/2020,44422,2851,52248
10/2/2020,44850,2927,52980
10/3/2020,45285,2968,53633
10/4/2020,45819,2975,54199
10/5/2020,46360,2980,54814
10/6/2020,46906,2987,55362
10/7/2020,47613,2988,55945
10/8/2020,48308,2992,56742
10/9/2020,49032,2997,57681
10/10/2020,49732,3004,58490
10/11/2020,50437,3005,59139
10/12/2020,51105,3008,59946
10/13/2020,51729,3017,60692
10/14/2020,52512,3017,61413
10/15/2020,53291,3022,62196
10/16/2020,54004,3031,62908
10/17/2020,54686,3041,63713
